severity,constraint,path,message,focusURL,value,shape
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj4fjk59mc73f1pl7g,"{'type': 'Point', 'coordinates': [-123.4091, 48.40083333333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3mjk59mc73f1lnb0,"{'type': 'Polygon', 'coordinates': [[[-126.815, 50.17877], [-124.978, 50.17877], [-124.978, 50.60525], [-126.815, 50.60525], [-126.815, 50.17877]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2tjk59mc73f1hqj0,"{'type': 'Point', 'coordinates': [-60.14918, 53.5374]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj43jk59mc73f1nng0,"{'type': 'Polygon', 'coordinates': [[[-126.0511576, 48.72717181], [-124.94565833, 48.72717181], [-124.94565833, 49.24536019], [-126.0511576, 49.24536019], [-126.0511576, 48.72717181]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj34jk59mc73f1ism0,"{'type': 'Point', 'coordinates': [-123.4089333, 48.4010833]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3ark59mc73f1jr60,"{'type': 'Point', 'coordinates': [-123.425785, 49.040057]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3njk59mc73f1ltpg,"{'type': 'Point', 'coordinates': [-123.317755, 49.042513333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj35bk59mc73f1j0b0,"{'type': 'Point', 'coordinates': [-125.22003, 50.11736]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4jrk59mc73f1qb90,"{'type': 'Polygon', 'coordinates': [[[-175.1, 33.07], [-122.5, 33.07], [-122.5, 63.45], [-175.1, 63.45], [-175.1, 33.07]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2nbk59mc73f1gtvg,"{'type': 'Polygon', 'coordinates': [[[-128.58323147, 51.38160352], [-127.80979387, 51.38160352], [-127.80979387, 52.09997599], [-128.58323147, 52.09997599], [-128.58323147, 51.38160352]]]}",geoPolygon
